player,passes_out,passes_in,flow_centrality,pass_out_pct
Francisco Gabriel Ortega,380.0,280.0,660.0,57.6
Panagiotis Retsos,326.0,261.0,587.0,55.5
Rodinei Marcelo de Almeida,308.0,276.0,584.0,52.7
Lorenzo Pirola,292.0,258.0,550.0,53.1
Christos Mouzakitis,278.0,255.0,533.0,52.2
Santiago Hezze,261.0,232.0,493.0,52.9
Gelson Dany Batalha Martins,177.0,300.0,477.0,37.1
Daniel Castelo Podence,123.0,207.0,330.0,37.3
Francisco Leonel Lima Silva Machado,147.0,160.0,307.0,47.9
Ayoub El Kaabi,91.0,150.0,241.0,37.8
Daniel García Carrillo,128.0,101.0,229.0,55.9
João Pedro Loureiro da Costa,126.0,92.0,218.0,57.8
Konstantinos Tzolakis,106.0,108.0,214.0,49.5
Mehdi Taremi,70.0,129.0,199.0,35.2
Giulian Biancone,88.0,86.0,174.0,50.6
Gabriel Tadeu Strefezza Rebelato,15.0,28.0,43.0,34.9
Alexandros Paschalakis,14.0,0.0,14.0,100.0
Lorenzo Scipioni,5.0,5.0,10.0,50.0
André Luiz Inácio da Silva,0.0,7.0,7.0,0.0
Sopuruchukwu Bruno Onyemaechi,5.0,0.0,5.0,100.0
Roman Yaremchuk,0.0,5.0,5.0,0.0
