player_name,display_name,total_starts
Francisco Gabriel Ortega,Francisco Ortega,10
Lorenzo Pirola,Lorenzo Pirola,10
Gelson Dany Batalha Martins,Gelson Martins,9
Konstantinos Tzolakis,Konstantinos Tzolakis,9
Panagiotis Retsos,Panagiotis Retsos,9
Ayoub El Kaabi,Ayoub El Kaabi,8
Francisco Leonel Lima Silva Machado,Chiquinho,8
Rodinei Marcelo de Almeida,Rodinei,8
Santiago Hezze,Santiago Hezze,8
Christos Mouzakitis,Christos Mouzakitis,7
Daniel Castelo Podence,Daniel Podence,7
Daniel García Carrillo,Dani García,6
João Pedro Loureiro da Costa,Costinha,4
Mehdi Taremi,Mehdi Taremi,4
Alexandros Paschalakis,Alexandros Paschalakis,1
Gabriel Tadeu Strefezza Rebelato,Gabriel Strefezza,1
Giulian Biancone,Giulian Biancone,1
