player,minute,xG,outcome,location,technique
Santiago Hezze,82,0.007,Wayward,"[70.0, 73.5, 0.0]",Lob
Daniel Castelo Podence,63,0.008,Saved,"[108.2, 60.0, 0.0]",Normal
Gelson Dany Batalha Martins,48,0.009,Blocked,"[116.4, 24.2, 0.0]",Normal
Panagiotis Retsos,42,0.009,Blocked,"[99.6, 59.7, 0.0]",Normal
Gelson Dany Batalha Martins,4,0.01,Off T,"[110.4, 19.5, 0.0]",Normal
Gabriel Tadeu Strefezza Rebelato,76,0.012,Off T,"[91.5, 25.0, 0.0]",Normal
Christos Mouzakitis,68,0.013,Blocked,"[92.9, 26.5, 0.0]",Normal
Christos Mouzakitis,66,0.016,Blocked,"[95.0, 25.7, 0.28]",Half Volley
Francisco Leonel Lima Silva Machado,84,0.016,Saved,"[113.9, 54.8, 0.0]",Normal
João Pedro Loureiro da Costa,21,0.017,Off T,"[96.5, 56.9, 0.0]",Normal
Christos Mouzakitis,66,0.017,Wayward,"[93.9, 31.4, 0.44]",Volley
Gelson Dany Batalha Martins,72,0.017,Goal,"[117.7, 52.1, 0.0]",Normal
Panagiotis Retsos,67,0.022,Saved,"[98.0, 56.9, 0.0]",Normal
Francisco Leonel Lima Silva Machado,5,0.022,Blocked,"[87.8, 43.6, 0.0]",Normal
Gelson Dany Batalha Martins,59,0.022,Blocked,"[104.8, 56.6, 0.0]",Normal
Daniel García Carrillo,33,0.023,Blocked,"[94.2, 45.7, 0.47]",Half Volley
Christos Mouzakitis,73,0.023,Off T,"[92.3, 47.7, 0.0]",Normal
Ayoub El Kaabi,41,0.023,Blocked,"[92.0, 42.5, 0.0]",Normal
Gelson Dany Batalha Martins,61,0.026,Off T,"[102.6, 54.7, 0.47]",Volley
Ayoub El Kaabi,21,0.027,Saved,"[93.7, 44.1, 0.0]",Normal
Ayoub El Kaabi,82,0.028,Blocked,"[100.5, 38.3, 0.39]",Half Volley
Gelson Dany Batalha Martins,65,0.028,Saved,"[108.4, 23.0, 0.0]",Normal
Gelson Dany Batalha Martins,26,0.028,Blocked,"[116.2, 29.3, 0.53]",Volley
Daniel Castelo Podence,36,0.029,Blocked,"[105.2, 29.5, 0.0]",Normal
Francisco Leonel Lima Silva Machado,59,0.029,Saved,"[91.8, 39.8, 0.0]",Normal
Stavros Pnevmonidis,88,0.03,Blocked,"[94.2, 38.4, 0.0]",Normal
Christos Mouzakitis,14,0.03,Off T,"[95.0, 39.4, 0.2]",Half Volley
Daniel Castelo Podence,6,0.031,Off T,"[89.3, 35.0, 0.0]",Normal
Daniel Castelo Podence,72,0.031,Saved,"[100.0, 24.8, 0.0]",Normal
Francisco Leonel Lima Silva Machado,4,0.032,Off T,"[94.0, 33.7, 0.31]",Half Volley
Francisco Gabriel Ortega,62,0.032,Off T,"[107.0, 26.4, 0.0]",Normal
Francisco Gabriel Ortega,75,0.033,Off T,"[112.0, 25.1, 0.28]",Half Volley
Francisco Leonel Lima Silva Machado,19,0.033,Saved,"[92.7, 34.9, 0.0]",Normal
João Pedro Loureiro da Costa,71,0.034,Blocked,"[98.8, 52.0, 0.0]",Normal
Santiago Hezze,46,0.036,Blocked,"[100.2, 52.4, 0.0]",Normal
João Pedro Loureiro da Costa,73,0.037,Blocked,"[100.3, 52.8, 0.0]",Normal
Gelson Dany Batalha Martins,44,0.038,Wayward,"[104.0, 53.6, 0.14]",Half Volley
Christos Mouzakitis,83,0.04,Blocked,"[95.8, 32.7, 0.0]",Normal
Mehdi Taremi,93,0.04,Off T,"[105.9, 40.1, 2.19]",Normal
Mehdi Taremi,61,0.04,Off T,"[108.1, 39.3, 2.25]",Normal
Gelson Dany Batalha Martins,33,0.04,Wayward,"[106.8, 36.2, 2.11]",Normal
Ayoub El Kaabi,58,0.041,Blocked,"[95.3, 32.3, 0.0]",Normal
Gelson Dany Batalha Martins,73,0.042,Off T,"[98.1, 35.8, 0.33]",Half Volley
Francisco Leonel Lima Silva Machado,27,0.042,Off T,"[100.9, 49.8, 0.22]",Half Volley
