player,under_pressure_episodes,successful_episodes,success_under_pressure_pct,pass_success,shot,dribble_escape,duel_escape,other_success,primary_mistake,other_mistake,mistake_total,mistake_under_pressure_pct,fouled_after_mistake,booked_after_mistake,conceded_after_mistake,other_success_detail,other_mistake_detail,matches_played
Gelson Dany Batalha Martins,214,150,70.1,40,4,0,2,104,49,15,64,29.9,0,0,1,Carry (69); Foul Won (20); Duel - Unknown (7); 50/50 - Success To Team (3); Ball Recovery (3); Ball Receipt* (1); Clearance (1),Dribble - Incomplete (14); 50/50 - Lost (1),9
Francisco Gabriel Ortega,182,137,75.3,42,2,0,9,84,41,4,45,24.7,2,0,1,Carry (39); Clearance (26); Duel - Unknown (10); Foul Won (5); 50/50 - Success To Opposition (1); 50/50 - Success To Team (1); Ball Recovery (1); Shield (1),Dribble - Incomplete (3); 50/50 - Lost (1),10
Rodinei Marcelo de Almeida,153,112,73.2,52,1,0,6,53,34,7,41,26.8,0,0,0,Carry (30); Clearance (10); Foul Won (5); Duel - Unknown (3); Shield (3); Ball Receipt* (2),Dribble - Incomplete (7),8
Santiago Hezze,141,111,78.7,45,0,0,9,57,26,4,30,21.3,0,0,0,Carry (31); Duel - Unknown (14); Clearance (8); Foul Won (4),50/50 - Lost (3); Dribble - Incomplete (1),9
Daniel Castelo Podence,134,93,69.4,35,3,0,2,53,36,5,41,30.6,0,0,2,Carry (36); Duel - Unknown (7); Foul Won (5); Ball Recovery (2); 50/50 - Success To Opposition (1); 50/50 - Success To Team (1); Foul Committed (1),Dribble - Incomplete (4); 50/50 - Lost (1),8
Ayoub El Kaabi,134,102,76.1,23,12,0,2,65,30,2,32,23.9,0,0,1,Duel - Unknown (43); Carry (16); Clearance (5); Ball Recovery (1),50/50 - Lost (1); Dribble - Incomplete (1),10
Panagiotis Retsos,118,96,81.4,28,1,0,9,58,21,1,22,18.6,0,0,0,Clearance (30); Carry (21); Duel - Unknown (6); Foul Won (1),50/50 - Lost (1),9
Lorenzo Pirola,113,87,77.0,25,1,0,6,55,26,0,26,23.0,0,0,0,Clearance (33); Carry (9); Duel - Unknown (9); Foul Won (2); Ball Receipt* (1); Interception (1),,10
Christos Mouzakitis,108,84,77.8,41,0,0,3,40,20,4,24,22.2,0,0,2,Carry (26); Clearance (5); Duel - Unknown (3); 50/50 - Won (2); Foul Won (2); 50/50 - Success To Team (1); Ball Recovery (1),50/50 - Lost (2); Dribble - Incomplete (2),9
Mehdi Taremi,106,76,71.7,23,5,0,2,46,27,3,30,28.3,0,0,0,Carry (19); Duel - Unknown (17); Foul Won (7); Ball Receipt* (1); Ball Recovery (1); Clearance (1),Dribble - Incomplete (2); 50/50 - Lost (1),10
João Pedro Loureiro da Costa,104,78,75.0,19,2,0,15,42,24,2,26,25.0,0,0,0,Carry (15); Clearance (15); Foul Won (6); Duel - Unknown (3); Ball Receipt* (1); Block (1); Shield (1),Dribble - Incomplete (2),7
Francisco Leonel Lima Silva Machado,103,72,69.9,26,3,1,6,36,27,4,31,30.1,0,0,0,Carry (25); Duel - Unknown (5); Foul Won (3); 50/50 - Won (1); Ball Receipt* (1); Ball Recovery (1),Dribble - Incomplete (3); 50/50 - Lost (1),10
Konstantinos Tzolakis,77,38,49.4,16,0,0,0,22,39,0,39,50.6,0,0,0,Carry (19); Clearance (1); Foul Won (1); Goal Keeper - Clear (1),,9
Daniel García Carrillo,56,47,83.9,28,0,0,6,13,9,0,9,16.1,0,0,0,Carry (5); Clearance (5); Duel - Unknown (3),,7
Giulian Biancone,48,36,75.0,11,2,0,3,20,12,0,12,25.0,0,0,0,Clearance (6); Duel - Unknown (6); Carry (4); 50/50 - Won (2); Foul Won (1); Shield (1),,6
Gabriel Tadeu Strefezza Rebelato,41,30,73.2,13,1,0,1,15,8,3,11,26.8,0,0,0,Carry (8); Foul Won (4); 50/50 - Won (1); Duel - Unknown (1); Pressure (1),Dribble - Incomplete (2); 50/50 - Lost (1),4
Lorenzo Scipioni,23,18,78.3,6,1,0,2,9,4,1,5,21.7,0,0,0,Carry (5); Clearance (2); 50/50 - Success To Team (1); Duel - Unknown (1),50/50 - Lost (1),5
André Luiz Inácio da Silva,20,12,60.0,0,1,0,0,11,8,0,8,40.0,0,0,0,Carry (9); Duel - Unknown (1); Foul Won (1),,2
Sopuruchukwu Bruno Onyemaechi,19,13,68.4,1,1,0,3,8,6,0,6,31.6,1,0,0,Clearance (6); Carry (1); Duel - Unknown (1),,4
Diogo Andre Santos Nascimento,18,14,77.8,1,0,0,0,13,3,1,4,22.2,0,0,0,Carry (8); Duel - Unknown (4); Foul Won (1),Dribble - Incomplete (1),2
Stavros Pnevmonidis,7,6,85.7,2,1,0,0,3,1,0,1,14.3,0,0,0,Foul Won (2); Ball Receipt* (1),,1
Roman Yaremchuk,5,2,40.0,1,0,0,0,1,2,1,3,60.0,0,0,0,Duel - Unknown (1),50/50 - Lost (1),1
Alexandros Paschalakis,3,2,66.7,1,0,0,0,1,1,0,1,33.3,0,0,0,Carry (1),,1
