player,shot_assists,goals_assisted,avg_xg_created,total_xg_created,conversion_rate
Mehdi Taremi,8,2,0.161,1.291,25.0
Rodinei Marcelo de Almeida,8,2,0.141,1.124,25.0
Francisco Leonel Lima Silva Machado,16,2,0.053,0.85,12.5
Christos Mouzakitis,8,0,0.097,0.776,0.0
Daniel Castelo Podence,10,0,0.048,0.48,0.0
Santiago Hezze,6,1,0.07,0.421,16.7
Ayoub El Kaabi,7,1,0.043,0.303,14.3
Gelson Dany Batalha Martins,4,0,0.075,0.301,0.0
Konstantinos Tzolakis,1,0,0.291,0.291,0.0
Francisco Gabriel Ortega,3,0,0.087,0.262,0.0
Gabriel Tadeu Strefezza Rebelato,2,1,0.085,0.169,50.0
Giulian Biancone,1,0,0.127,0.127,0.0
Lorenzo Pirola,2,0,0.056,0.112,0.0
Daniel García Carrillo,1,0,0.094,0.094,0.0
Diogo Andre Santos Nascimento,1,0,0.077,0.077,0.0
João Pedro Loureiro da Costa,1,0,0.051,0.051,0.0
